Store,Date,Item,Price,UnitType,Units
testing,9/19/2019,100% Butter Pumpkin Cheese Danish,$4.49,count,1
testing,9/19/2019,ACQUA PANNA Water,$5.00,count,2
testing,9/19/2019,ADAMS Peanut Butter,$7.99,count,1
testing,9/19/2019,ALLEN'S Cleaning Vinegar,$2.99,count,1
testing,9/19/2019,AQUA STAR Basa Fillets,$8.99,count,1
testing,9/19/2019,ARMSTRONG Cheese,$3.97,count,1
testing,9/19/2019,ARMSTRONG Cheese Snacks - 10 AIR MILES® Bonus Miles,$4.49,count,1
testing,9/19/2019,ASTRO Yogurt,$6.00,count,2
testing,9/19/2019,Activia Yogurt - 10 AIR MILES® Bonus Miles,$9.99,count,3
testing,9/19/2019,Artisan Cranberry Pumpkin Seed Bread,$3.49,count,1
testing,9/19/2019,Asparagus product,$5.49,lb,1
testing,9/19/2019,BABY GOURMET Purée Pouches,$6.00,count,4
testing,9/19/2019,BAHLSEN Africa Dark Wafer Crisps,$3.49,count,1
testing,9/19/2019,BAHLSEN Waffeletten Milk Chocolate Rolled Wafers,$3.49,count,1
testing,9/19/2019,COMPLIMENTS BALANCE Instant Oatmeal,$6.00,count,2
testing,9/19/2019,BAXTER'S Pumpkin Pecan Tarts,$6.49,count,1
testing,9/19/2019,BAXTER'S Pumpkin Pepita Loaf Cake,$6.49,count,1
testing,9/19/2019,BECEL Margarine,$3.99,count,1
testing,9/19/2019,BETTY CROCKER Mug Cakes,$3.49,count,1
testing,9/19/2019,BOUNTY Paper Towel,$19.99,count,1
testing,9/19/2019,BREYERS Creamery Style Ice Cream,$4.99,count,1
testing,9/19/2019,Bartlett Pears,$1.99,lb,1
testing,9/19/2019,Beef Chuck Short Ribs or Korean BBQ style,$7.99,lb,1
testing,9/19/2019,Beef Hip Stir-Fry,$6.99,lb,1
testing,9/19/2019,Boulangerie Grissol Melba Toast - 10 AIR MILES® Bonus Miles,$5.00,count,2
testing,9/19/2019,Brussels Sprouts,$3.49,lb,1
testing,9/19/2019,Bunch Carrots,$2.49,count,1
testing,9/19/2019,CALIFIA FARMS Cold Brew Latte*,$5.99,count,1
testing,9/19/2019,CAMPBELL'S Ready to Eat or HABITANT Soup,$5.00,count,2
testing,9/19/2019,"CATELLI Pasta 375-500 g, Minis 375 g (excludes lasagna), HUNT'S Thick & Rich Pasta Sauce 680 mL or KNORR Sidekicks 112-167 g",$0.99,count,1
testing,9/19/2019,COCA-COLA or PEPSI Soft Drinks,$6.99,count,1
testing,9/19/2019,"COCA-COLA, BARQ'S or A&W Specialty Sodas - 20 AIR MILES® Bonus Miles",$4.99,count,1
testing,9/19/2019,"COMPLIMENTS 9"" Pumpkin Pie",$6.99,count,1
testing,9/19/2019,COMPLIMENTS BALANCE Frozen Novelties,$4.99,count,1
testing,9/19/2019,COMPLIMENTS BALANCE Ground Extra Lean Chicken,$4.99,count,1
testing,9/19/2019,COMPLIMENTS Bathroom Tissue Club Pack,$17.99,count,1
testing,9/19/2019,COMPLIMENTS Brie Cheese,$2.99,100,1
testing,9/19/2019,COMPLIMENTS Canola Oil - 5 AIR MILES® Bonus Miles,$3.49,count,1
testing,9/19/2019,COMPLIMENTS Flour,$3.49,count,1
testing,9/19/2019,COMPLIMENTS Freezer Bags,$5.00,count,2
testing,9/19/2019,COMPLIMENTS Fresh AIR-CHILLED Chicken Drumsticks,$2.99,lb,1
testing,9/19/2019,COMPLIMENTS Fresh AIR-CHILLED Split Chicken Wings,$4.99,lb,1
testing,9/19/2019,COMPLIMENTS Fresh AIR-CHILLED Whole Chicken,$1.99,count,1
testing,9/19/2019,COMPLIMENTS Fresh Pastas,$2.99,count,1
testing,9/19/2019,COMPLIMENTS Ginger Beef,$7.99,count,1
testing,9/19/2019,COMPLIMENTS Greek Yogurt,$5.00,count,2
testing,9/19/2019,COMPLIMENTS Honey,$8.99,count,1
testing,9/19/2019,COMPLIMENTS Instant Coffee,$3.49,count,1
testing,9/19/2019,COMPLIMENTS ORGANIC Frozen Fruit,$6.99,count,1
